,Label,Entity,Review,continent
0,GENERAL,Gladiator 2,"""Gladiator 2"" es una secuela que",EEUU
1,GENERAL,secuela,"""Gladiator 2"" es una secuela que",EEUU
2,PRODUCCION,escenas,Las escenas de batalla son impresionantes,EEUU
4,PRODUCCION,visual,sigue siendo un gran espectáculo visual y un digno sucesor del clásico.,EEUU
5,GENERAL,secuela,esperaba mucho de esta secuela.,EEUU
6,GUION,trama,la trama se siente un poco forzada.,EEUU
7,GUION,guion,pero el guion no tiene el mismo impacto emocional que la primera película.,EEUU
8,ACTOR,Paul Mescal,Paul Mescal ofrece una actuación convincente,EEUU
9,GENERAL,Gladiator 2,"""Gladiator 2"" no está a la altura de su legado.",EUROPE
10,PRODUCCION,producción,Si bien la producción es impecable,EUROPE
11,GUION,guion,el guion carece de profundidad y los personajes no generan la misma empatía que en la primera entrega.,EUROPE
12,ACTOR,Denzel Washington,Denzel Washington destaca con su presencia imponente,EUROPE
13,DIRECTOR,Ridley Scott,La dirección de Ridley Scott sigue siendo magistral y se nota el esmero en los detalles históricos.,EEUU
14,ACTOR,Pedro Pascal,Pedro Pascal brilla con su interpretación,EEUU
15,GUION,historia,Aunque la historia no logra el mismo impacto emocional que su predecesora,EEUU
16,GENERAL,Gladiator 2,"""Gladiator 2"" logra mantener el espíritu de la primera película con escenas de batalla bien coreografiadas y una banda sonora poderosa.",EUROPE
17,PRODUCCION,escenas,"""Gladiator 2"" logra mantener el espíritu de la primera película con escenas de batalla bien coreografiadas y una banda sonora poderosa.",EUROPE
18,GUION,narrativa,la falta de un personaje tan icónico como Máximo resta un poco de fuerza a la narrativa.,EUROPE
19,ACTOR,Paul Mescal,Paul Mescal hace un gran trabajo,EUROPE
20,GENERAL,secuela,Se siente como una secuela innecesaria.,EEUU
21,PRODUCCION,escenas,Aunque la cinematografía es espectacular y las escenas de acción están bien logradas,EEUU
22,GUION,guion,el guion es predecible y poco inspirado.,EEUU
23,ACTOR,Denzel Washington,Denzel Washington entrega una actuación sólida,EEUU
24,GENERAL,Gladiator 2,"Gladiator 2"" cumple con ofrecer acción y drama",EEUU
25,GUION,historia,pero carece de una historia realmente atrapante.,EEUU
26,ACTOR,Pedro Pascal,Pedro Pascal es un gran acierto en el reparto,EEUU
27,GUION,guion,pero no logra salvar del todo el guion.,EEUU
28,GENERAL,secuela,tampoco es una secuela memorable.,EEUU
29,GENERAL,Gladiator 2,"Me sorprendió gratamente ""Gladiator 2"".",EEUU
30,PRODUCCION,visual,logra construir su propia identidad y ofrece un espectáculo visual impresionante.,EEUU
31,GUION,historia,Las batallas son emocionantes y la historia,EEUU
32,ACTOR,Paul Mescal,Paul Mescal demuestra ser un protagonista fuerte,EEUU
33,PRODUCCION,escenas,Aunque tiene buenas escenas de acción y una banda sonora impresionante,EEUU
34,GUION,historia,"la historia de ""Gladiator 2"" no logra cautivar de la misma manera que la primera.",EEUU
35,GENERAL,Gladiator 2,"la historia de ""Gladiator 2"" no logra cautivar de la misma manera que la primera.",EEUU
36,ACTOR,Denzel Washington,Denzel Washington y Pedro Pascal hacen un buen trabajo,EEUU
37,ACTOR,Pedro Pascal,Denzel Washington y Pedro Pascal hacen un buen trabajo,EEUU
38,GUION,historia,Un intento fallido de revivir una historia que ya tenía un cierre perfecto.,EUROPE
39,GUION,guion,el guion es flojo y los nuevos personajes no generan el mismo impacto que en la original.,EUROPE
40,ACTOR,Paul Mescal,A pesar de contar con actores talentosos como Paul Mescal y Denzel Washington,EUROPE
41,ACTOR,Denzel Washington,A pesar de contar con actores talentosos como Paul Mescal y Denzel Washington,EUROPE
42,GENERAL,Gladiator 2,"""Gladiator 2"" nos devuelve a la Roma imperial con una producción impecable y un elenco estelar.",EUROPE
43,PRODUCCION,producción,"""Gladiator 2"" nos devuelve a la Roma imperial con una producción impecable y un elenco estelar.",EUROPE
44,ACTOR,Paul Mescal,Paul Mescal logra una actuación convincente,EUROPE
45,ACTOR,Denzel Washington,Denzel Washington aporta profundidad a su personaje y Pedro Pascal es un villano que roba cada escena en la que aparece.,EUROPE
46,ACTOR,Pedro Pascal,Denzel Washington aporta profundidad a su personaje y Pedro Pascal es un villano que roba cada escena en la que aparece.,EUROPE
47,GUION,guion,A pesar de algunos altibajos en el guion,EUROPE
48,GENERAL,Gladiator 2,"Si bien ""Gladiator 2"" es visualmente impresionante",EUROPE
49,GUION,historia,la historia no logra enganchar de la misma manera que la primera.,EUROPE
50,ACTOR,Paul Mescal,Paul Mescal hace un buen trabajo,EUROPE
51,ACTOR,Pedro Pascal,Pedro Pascal y Denzel Washington brillan en sus papeles,EUROPE
52,ACTOR,Denzel Washington,Pedro Pascal y Denzel Washington brillan en sus papeles,EUROPE
53,GUION,narrativa,pero no logran salvar una narrativa que se siente floja y predecible.,EUROPE
54,DIRECTOR,Ridley Scott,Una película que impresiona visualmente y mantiene el estándar de calidad que se espera de Ridley Scott.,EEUU
55,PRODUCCION,producción,Las secuencias de acción son emocionantes y el diseño de producción es exquisito.,EEUU
56,ACTOR,Paul Mescal,Paul Mescal y Pedro Pascal ofrecen actuaciones sobresalientes,EEUU
57,ACTOR,Pedro Pascal,Paul Mescal y Pedro Pascal ofrecen actuaciones sobresalientes,EEUU
58,GUION,trama,aunque la trama no alcanza el mismo nivel de profundidad emocional que su predecesora.,EEUU
59,PRODUCCION,visual,es un deleite visual y una experiencia épica.,EEUU
60,GENERAL,Gladiator 2,"""Gladiator 2"" no logra capturar el espíritu de la original.",EEUU
61,PRODUCCION,producción,Se nota el esfuerzo en la dirección y producción,EEUU
62,GUION,guion,pero el guion deja mucho que desear.,EEUU
63,GENERAL,Gladiator 2,"""Gladiator 2"" mantiene al espectador al borde de su asiento.",EUROPE
64,DIRECTOR,Ridley Scott,La dirección de Ridley Scott es impecable,EUROPE
65,ACTOR,Paul Mescal,y el elenco liderado por Paul Mescal está a la altura del desafío.,EUROPE
66,PRODUCCION,música,La música y la cinematografía son simplemente impresionantes.,EUROPE
